dteday,season,yr,mnth,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_name
2011-01-01,springer,2011,1,6,weekend,mist_cloudy,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Saturday
2011-01-02,springer,2011,1,0,weekend,mist_cloudy,9.083466000000001,7.3467740000000035,69.6087,16.652113,131,670,801,Sunday
2011-01-03,springer,2011,1,1,workday,clear,1.229108,-3.499270000000001,43.7273,16.636703,120,1229,1349,Monday
2011-01-04,springer,2011,1,2,workday,clear,1.4000000000000004,-1.9999479999999998,59.0435,10.739832,108,1454,1562,Tuesday
2011-01-05,springer,2011,1,3,workday,clear,2.6669789999999995,-0.8681800000000006,43.695699999999995,12.522300000000001,82,1518,1600,Wednesday
2011-01-06,springer,2011,1,4,workday,clear,1.6043559999999992,-0.6082059999999991,51.8261,6.0008684,88,1518,1606,Thursday
2011-01-07,springer,2011,1,5,workday,mist_cloudy,1.2365340000000007,-2.2166259999999998,49.8696,11.304642,148,1362,1510,Friday
2011-01-08,springer,2011,1,6,weekend,mist_cloudy,-0.24499999999999922,-5.291236,53.5833,17.875868,68,891,959,Saturday
2011-01-09,springer,2011,1,0,weekend,clear,-1.4983489999999993,-8.33245,43.416700000000006,24.25065,54,768,822,Sunday
2011-01-10,springer,2011,1,1,workday,clear,-0.9108490000000007,-6.041392,48.2917,14.958889,41,1280,1321,Monday
2011-01-11,springer,2011,1,2,workday,mist_cloudy,-0.0527230000000003,-3.3633760000000006,68.6364,8.182844000000001,43,1220,1263,Tuesday
2011-01-12,springer,2011,1,3,workday,clear,0.11816899999999997,-5.408782,59.954499999999996,20.410009,25,1137,1162,Wednesday
2011-01-13,springer,2011,1,4,workday,clear,-0.24499999999999922,-6.041722,47.0417,20.166999999999998,38,1368,1406,Thursday
2011-01-14,springer,2011,1,5,workday,clear,-0.43910999999999945,-3.5647420000000007,53.7826,8.478716,54,1367,1421,Friday
2011-01-15,springer,2011,1,6,weekend,mist_cloudy,2.9666510000000006,0.3753920000000015,49.875,10.583521,222,1026,1248,Saturday
2011-01-16,springer,2011,1,0,weekend,clear,2.888349,-0.5416779999999992,48.375,12.625010999999999,251,953,1204,Sunday
2011-01-17,springer,2011,1,1,weekend,mist_cloudy,0.264151,-4.333113999999998,53.75,12.999139,117,883,1000,Monday
2011-01-18,springer,2011,1,2,workday,mist_cloudy,2.1833489999999998,-0.6660219999999999,86.16669999999999,9.833924999999999,9,674,683,Tuesday
2011-01-19,springer,2011,1,3,workday,mist_cloudy,5.732177999999999,3.695852000000002,74.1739,13.957239,78,1572,1650,Wednesday
